number,title,author,commentsCount,reviewThreadsCount,reviewsCount
6509,Update index.js,Hasnen-ali,1,0,0
6505,Fix fetch request config,prianyu,1,0,0
6504,Տեստ Update server.js,arshmatoyan,0,0,0
6489,Warn about common option misspellings,cincodenada,1,3,3
6480,docs(readme): fix Request Config options code highlight,bernardoduarte,1,0,2
6453,chore(deps-dev): bump ws from 7.5.7 to 7.5.10,dependabot,1,0,0
6447,"chore(deps): bump braces, gulp and webpack",dependabot,2,0,1
6438,fix(lib): throttle ignored `force` argument,chitoku-k,0,0,0
6432,fix(fetch): fix ReadableStream couldn't be contructed bewteen chrome 43 and 52,yuzheng14,5,0,0
6429,Mytole patch 10,mytole,0,0,0
6427,Mytole patch 7,mytole,0,0,0
6426,Mytole patch 5,mytole,0,0,0
6425,Mytole patch 4,mytole,0,0,0
6420,chore(deps): bump actions/stale from 7 to 9,dependabot,1,0,0
6419,chore(deps): bump github/codeql-action from 2 to 3,dependabot,1,0,0
6414,[Release] v1.7.2,github-actions,0,0,0
6413,fix(fetch): enhance fetch API detection;,DigitalBrainJS,0,1,3
6411,[Release] v1.7.1,github-actions,0,0,0
6410,fix(fetch): fixed ReferenceError issue when TextEncoder is not available in the environment;,DigitalBrainJS,0,0,0
6408,[Release] v1.7.0,github-actions,0,0,0
6407,chore(docs): add fetch adapter docs;,DigitalBrainJS,0,0,0
6406,fix(fetch): fixed a possible memory leak in the AbortController for the stream response if the ReadableStream is not supported;,DigitalBrainJS,0,0,0
6405,chore(ci): bump create-pull-request version to fix a bug;,DigitalBrainJS,0,0,0
6404,chore(ci): add tag resolution for npm releases based on package version;,DigitalBrainJS,0,0,0
6403,[Release] v1.7.0-beta.2,github-actions,0,0,0
6402,fix(backport): backport security fixes in commits #6167 and #6163 to v0.x,Sean-Powell,2,0,0
6401,fix(fetch): fix headers getting from a stream response;,DigitalBrainJS,0,1,1
6400,fix(fetch): fix & optimize progress capturing for cases when the request data has a nullish value or zero data length,DigitalBrainJS,0,0,0
6395,fix(fetch): capitalize HTTP method names;,DigitalBrainJS,0,0,0
6394,Fix: omit nulls in params,Willshaw,1,0,0
6383,[Release] v1.7.0-beta.1,github-actions,0,3,1
6380,fix(fetch): treat TypeError: fetch failed as an AxiosError.ERR_NETWORK error;,DigitalBrainJS,0,0,0
6377,fix(fetch): fix cases when ReadableStream or Response.body are not available;,DigitalBrainJS,0,0,0
6373,[Release] v1.7.0-beta.0,github-actions,0,4,1
6371,feat(adapter): add fetch adapter;,DigitalBrainJS,0,3,2
6365,chore(deps-dev): bump formidable from 2.1.2 to 3.2.4,dependabot,1,0,0
6362,fix(core/axios): handle un-writable error stack,alexandre-abrioux,4,1,1
6361,fix(backport): fix paramsSerializer function validation,solonzhu,0,0,0
6349,fix(vulnerability): update follow-redirects to 1.15.6,esezerguven,2,0,1
6348,fix: change main entry to CJS dist,lukekarrys,0,1,3
6344,Grammatically improved Security.md doc,JikokuAice,2,0,1
6339,Grammatically improved Security.md doc,JikokuAice,0,0,0
6337,chore(deps): bump tj-actions/changed-files from 40 to 44,dependabot,1,0,0
